Student_ID,Gender,Age,Ethnicity,Parental_Level_of_Education,Lunch,Test_Preparation_Course,Math_Score,Reading_Score,Writing_Score
1,Female,15,Group C,Some High School,Free/Reduced,None,25,48,74
2,Male,15,Group D,High School,Standard,Completed,42,62,87
3,Female,17,Group D,Some High School,Free/Reduced,Completed,97,0,39
4,Female,16,Group E,Some College,Standard,Completed,7,6,2
5,Female,16,Group D,Master's Degree,Standard,Completed,17,3,17
6,Female,16,Group D,Master's Degree,Free/Reduced,None,26,76,38
7,Female,15,Group E,Bachelor's Degree,Free/Reduced,None,70,83,59
8,Female,15,Group B,Some High School,Free/Reduced,Completed,93,83,85
9,Female,18,Group B,High School,Standard,None,42,73,0
10,Male,15,Group B,Some College,Free/Reduced,None,96,38,20
11,Female,15,Group E,Associate's Degree,Standard,Completed,84,17,66
12,Male,15,Group B,Some High School,Free/Reduced,None,7,38,71
13,Female,16,Group A,Bachelor's Degree,Free/Reduced,None,30,67,83
14,Male,16,Group E,Master's Degree,Free/Reduced,Completed,63,74,11
15,Female,15,Group E,Some High School,Standard,Completed,9,32,37
16,Male,16,Group E,High School,Standard,Completed,72,22,11
17,Male,18,Group A,Some High School,Free/Reduced,None,78,6,15
18,Female,16,Group A,Bachelor's Degree,Free/Reduced,Completed,89,37,16
19,Female,18,Group C,Associate's Degree,Free/Reduced,None,97,48,68
20,Female,17,Group B,Some High School,Free/Reduced,None,4,48,58
21,Male,15,Group D,Some College,Free/Reduced,Completed,44,87,80
22,Female,16,Group E,Some College,Free/Reduced,Completed,9,35,38
23,Female,18,Group B,High School,Standard,None,53,100,40
24,Female,17,Group A,Some High School,Free/Reduced,Completed,76,94,17
25,Male,17,Group D,Some College,Standard,Completed,94,71,62
26,Male,16,Group E,Some College,Standard,Completed,78,78,89
27,Female,16,Group C,Associate's Degree,Standard,None,10,55,9
28,Male,17,Group E,Bachelor's Degree,Free/Reduced,Completed,70,55,98
29,Female,15,Group E,Bachelor's Degree,Free/Reduced,Completed,61,63,77
30,Female,15,Group A,Bachelor's Degree,Standard,Completed,16,52,27
31,Male,18,Group B,Master's Degree,Free/Reduced,Completed,34,6,55
32,Male,15,Group A,Associate's Degree,Standard,Completed,92,41,60
33,Female,17,Group C,Master's Degree,Standard,None,5,55,65
34,Male,17,Group A,Bachelor's Degree,Standard,None,13,33,47
35,Female,17,Group A,Master's Degree,Free/Reduced,None,4,20,62
36,Female,15,Group E,Some College,Free/Reduced,Completed,63,1,48
37,Female,18,Group E,Some College,Standard,None,64,39,37
38,Male,15,Group E,Bachelor's Degree,Standard,None,28,40,54
39,Male,18,Group A,Some College,Free/Reduced,None,83,54,24
40,Female,15,Group C,High School,Standard,Completed,44,46,77
41,Female,17,Group A,Master's Degree,Standard,Completed,55,62,9
42,Male,17,Group D,Some High School,Standard,None,61,96,30
43,Male,16,Group E,High School,Standard,Completed,38,56,70
44,Male,15,Group B,Master's Degree,Standard,None,100,43,100
45,Female,15,Group D,Some High School,Standard,Completed,29,68,10
46,Male,16,Group D,Bachelor's Degree,Standard,Completed,2,3,4
47,Male,17,Group D,Bachelor's Degree,Standard,None,7,73,81
48,Male,15,Group E,Some High School,Standard,Completed,3,57,63
49,Male,16,Group D,High School,Standard,Completed,99,100,38
50,Female,15,Group D,Bachelor's Degree,Standard,Completed,100,39,78
51,Female,18,Group A,High School,Standard,None,25,98,14
52,Female,17,Group E,High School,Standard,None,68,40,84
53,Female,18,Group B,Some High School,Free/Reduced,Completed,77,28,48
54,Female,17,Group A,Associate's Degree,Free/Reduced,None,48,24,15
55,Male,16,Group D,High School,Free/Reduced,None,87,100,100
56,Male,17,Group D,Some College,Standard,Completed,87,64,73
57,Male,17,Group B,Bachelor's Degree,Free/Reduced,None,94,77,36
58,Female,16,Group C,Master's Degree,Free/Reduced,Completed,2,3,21
59,Male,17,Group C,High School,Standard,Completed,70,54,31
60,Female,15,Group A,Associate's Degree,Free/Reduced,None,61,16,82
61,Female,16,Group E,High School,Free/Reduced,Completed,6,31,19
62,Male,16,Group D,Master's Degree,Standard,Completed,49,100,15
63,Female,16,Group E,High School,Standard,Completed,98,47,44
64,Male,18,Group B,Some College,Standard,None,48,33,36
65,Male,18,Group B,Associate's Degree,Free/Reduced,None,89,51,6
66,Male,17,Group A,Some College,Standard,Completed,16,48,9
67,Female,16,Group A,Master's Degree,Free/Reduced,None,55,100,90
68,Male,17,Group D,Bachelor's Degree,Standard,None,89,16,30
69,Male,15,Group C,High School,Free/Reduced,None,54,81,10
70,Male,16,Group D,High School,Free/Reduced,None,70,23,42
71,Female,15,Group C,High School,Free/Reduced,Completed,17,98,27
72,Female,17,Group E,Associate's Degree,Standard,Completed,14,53,42
73,Female,18,Group B,Some High School,Standard,None,56,43,6
74,Male,17,Group C,High School,Free/Reduced,Completed,15,89,52
75,Male,15,Group C,Associate's Degree,Standard,Completed,78,37,76
76,Male,16,Group C,Associate's Degree,Standard,None,47,6,84
77,Female,17,Group C,Some College,Free/Reduced,Completed,45,13,55
78,Female,16,Group E,Some College,Standard,None,24,50,84
79,Male,18,Group B,Bachelor's Degree,Standard,None,43,80,23
